num	sentence
5	5A. He feels the same way.
6	6A. We rode horseback to the farm.
7	7A. The plot is laced with mysterious incidents.
8	8A. There was only one decision to be made.
9	9A. The first health revolution was the control of infection.
10	10A. Many parents said they stopped medication when the earache disappeared.
5	5A. I called two different painters.
6	6A. The book has a red cover.
7	7A. I've kept it with me ever since.
8	8A. You'd be better off taking a cold shower.
9	9A. He dashed across the parking lot and disappeared inside.
10	10A. I turned quickly on my heel and headed for home.
5	5A. This is a family show.
6	6A. They want to do more research.
7	7A. The soil seemed to hold water well.
8	8A. It can lead to any number of adventures.
9	9A. Someday I hope people will write about my tennis.
10	10A. I began to grope among the clothes in our closet.
5	5A. I won a teaching award.
6	6A. We've done it in the past.
7	7A. Did dues money pay for that trip?
8	8A. Salt is the only special ingredient you need.
9	9A. Practically everyone is guilty at one time or another.
10	"10A. That's important, especially with the reduced speeds and shorter trips."
5	5A. It can be a bore.
6	6A. Looks are not a primary consideration.
7	7A. I don't think it's a good idea.
8	"8A. For casual walking, you need no special equipment."
9	9A. I stopped trying to eat all my troubles away.
10	10A. The agency said the theme of the play is acceptable.
5	5A. It's beauty that surrounds you.
6	6A. We hope they will soon cooperate.
7	"7A. Gradually, the noise level began to drop."
8	8A. A low price will sell a house quickly.
9	"9A. One after another, they went up to reassure him."
10	10A. Why would such a man be fired from his job?
5	5A. Contrast is important in life.
6	6A. The old woman's cat was pregnant.
7	7A. It's training the owner that takes longer.
8	8A. None of the stops is in a city.
9	9A. It cannot live in animals or elsewhere in nature.
5	5A. That day might be here.
6	6A. Would you please sharpen these pencils?
7	7A. It eventually became a rather proud claim.
8	8A. I didn't know where they were coming from.
9	"9A. After you have lost five pounds, buy a scarf."
10	10A. Gold is heavier than anything else in a stream bed.
5	5A. We have a big house.
6	6A. Students watched as he got out.
7	7A. It was a good win for us.
8	8A. You can't expect to make too much money.
9	9A. They really don't do the job on my drains.
10	10A. This enabled modern astronomers to date the incidents quite accurately.
6	6A. Young and old also got together.
7	7A. Being able to dance can help too.
8	8A. We selected places where families will be welcome.
9	9A. Try to avoid moving in midsummer or on weekends.
10	10A. They were lined with rabbit fur to protect tender feet.
5	5A. The four brothers looked identical.
6	6A. The sailboat flew the red flag.
7	"7A. When you are through, write a report."
8	8A. Do you know what the yards look like?
9	"9A. These are favorites, because they hold their shapes well."
10	10A. You simply present your case as clearly as you can.
5	5A. He has played very well.
6	6A. Worse luck was still to come.
7	7A. We saw three deer and a badger.
8	8A. We are the largest of the four states.
9	9A. They become limber and they move with greater strength.
10	10A. He was attempting to capture his second consecutive tennis championship.
5	5A. We know we can score.
6	6A. He rode horseback through the woods.
8	8A. The boxer threw a quick punch at him.
9	9A. I've been through too much to give in now.
10	10A. We were happier when he worked downstairs in the garage.
5	5A. The puppies chased the ball.
7	7A. The canoe floated slowly down the river.
8	8A. I tried to tell people in the community.
9	9A. You will be looking much better in three days.
10	"10A. It is a safe and effective drug, when properly used."
5	5A. Keep your house very clean.
6	6A. How many hours have you worked?
7	7A. We had to get the manager's permission.
8	"8A. Night after night, they received annoying phone calls."
9	9A. The complaint came in at two in the afternoon.
10	10A. The cave was empty of men for days on end.
5	5A. She couldn't find it anywhere.
6	6A. He is uninformed on student issues.
7	7A. You're betting that he won't get hurt.
9	9A. He tells his wife he knows this is so.
5	5A. I just couldn't feel anything.
6	6A. Some people just don't see them.
7	7A. I dismissed the suit without a trial.
8	8A. He never played a moment of organized football.
9	"9A. Traveling is so tiring, that eliminating stress is important."
10	10A. Male and female stay together until one of them dies.
5	5A. I found two wooden boxes.
6	6A. Palm trees grow in great abundance.
8	8A. There is no fee to visit the nursery.
9	9A. I just cannot sit here and worry any more.
10	"10A. I had all the usual tests, and everything was fine."
5	5A. We painted the picket fence.
6	6A. Trespassers can be prosecuted and fined.
7	7A. Trees are listed by their common names.
8	8A. The airplane came in for a swift landing.
9	9A. The police said the collision was not my fault.
5	5A. We both love to travel.
6	6A. I have had my bell rung.
9	9A. We do not regard him as a financial wizard.
10	10A. I looked for a roommate to help with the bills.
5	5A. You can ride a stagecoach.
6	6A. Most visitors come as day hikers.
7	7A. Only two seemed really appealing to me.
8	8A. Take some time out to enjoy the season.
10	10A. A patient seriously hurt his ankle in a motorcycle accident.
5	5A. The box contained three sweaters.
6	6A. They are very much in love.
7	7A. You can also buy cider and wine.
8	8A. Natural poisons have always existed in our foods.
10	10A. Hundreds of tools and inventions are now on the market.
6	6A. We hope to meet them again.
7	7A. Be prepared for odd behavior from friends.
8	8A. Those people are much quicker than I am.
9	9A. I never worried about being in someone else's way.
10	10A. He's in a position where he's got to keep improving.
6	6A. You'll never know until you try.
7	7A. The new highway is straight and empty.
8	8A. It was followed by another session at night.
9	"9A. As much as anything else, it can be humor."
10	"10A. As societies become wealthier, their consumption of animal products increases."
5	5A. She was really shook up.
6	6A. The old gentleman's coat was threadbare.
8	8A. The wait for work can be very long.
9	9A. Every traveler has had experiences and adventures in taxicabs.
5	5A. The workout lasted two hours.
7	7A. She suggested we all have dinner together.
8	8A. A full moon rose between two eastern peaks.
9	9A. The club isn't even taking applications for active membership.
5	"5A. My work is here, too."
6	6A. The store serves meals every day.
7	7A. They received all the things they needed.
10	10A. They almost had to lift me out of the car.
6	6A. That's just the way it is.
7	7A. I scream to warm up my voice.
8	8A. She washes her hair more often than necessary.
5	5A. The grandfather clock chimed loudly.
6	6A. Hundreds of fans surrounded the celebrity.
7	7A. Our intelligence has bought the necessary time.
8	8A. A fire in straw makes a quick blaze.
9	9A. She has never met a man like me before.
10	10A. He was in no way prepared for what might happen.
6	6A. It fell out of his pocket.
7	7A. The vase is very thin and fragile.
9	9A. They extract a lot of water from the ground.
10	10A. What the badger gains from the partnership is not clear.
5	5A. I scrubbed the floors thoroughly.
6	6A. My sister made the flowered curtains.
7	7A. How do they know where to look?
10	10A. He will work at it as no man has before.
5	5A. The closet was too full.
6	6A. I also can be quite vocal.
8	8A. The defendant is either guilty or not guilty.
9	9A. I put some bread in the oven to toast.
10	10A. They offered him a private railroad car for the trip.
5	5A. We bought a brown chair.
7	7A. Who knows what you'll discover about yourself.
8	8A. I told her I only had nine minutes.
9	"9A. Later, my wife and I were talking about it."
10	10A. You can assemble it up to a day before serving.
5	5A. The steeple bell rang once.
6	6A. I was conscious all the time.
7	7A. I like them because they are practical.
8	8A. I had to throw away all my vests.
7	7A. Old telephone booths aren't easy to find.
9	9A. I didn't even know how much fuel it had.
10	10A. He has already received many new requests for the list.
5	5A. I planted three pink rosebushes.
6	6A. The snow blew into large drifts.
8	8A. It grows faster than anything else on earth.
9	9A. Many disabled don't know that the program is available.
5	5A. It was a great meeting.
6	6A. Some prefer the traditional steel kind.
9	9A. The waiting list is seven to ten years long.
10	10A. Nothing is ever dry in the suffocating heat and humidity.
5	5A. The books are very expensive.
7	7A. Begin by trying to speak up more.
10	"10A. Accordingly, when it is gone, it is gone for good."
5	5A. The effort is still worthwhile.
7	7A. It was very popular with our fans.
8	8A. There is little hope that overfishing will cease.
10	10A. The hotel is owned by a young brother and sister.
6	"6A. That way, you won't be disappointed."
9	9A. It refuses to recognize the claims of other countries.
10	10A. The patient managed to fall and break his ankle again.
5	5A. I enjoy him very much.
7	7A. It shows up in the unlikeliest places.
8	8A. That's what I thought it was at first.
10	10A. My sister has a unique way of getting things done.
5	5A. Some hotels are available nearby.
6	6A. Paint the sign in bold letters.
8	8A. They say bears do strange things to people.
5	5A. Life is short and precious.
9	9A. Distinguished law firms have volunteered to provide legal assistance.
8	8A. He can't abide mistakes in his own game.
9	9A. You have a clear view almost all winter long.
5	5A. We understand each other better.
6	6A. They have not taken the time.
7	7A. Paper cups of jellybeans were set out.
10	"10A. It takes too much time, and time is running out."
5	5A. He noted the fact carefully.
7	7A. Prospecting for gold is a booming business.
9	9A. The rudiments of these arguments need only be sketched.
10	10A. Important men in the party asked him not to go.
5	5A. They will make many friends.
6	6A. The wallpaper is green and blue.
9	"9A. Furthermore, the animals have moved steadily closer to cities."
5	5A. I could barely sit down.
6	6A. Most weeds grow strong and fast.
7	7A. The preparation of this article was difficult.
9	9A. My old approach was to offer her a cigarette.
5	5A. Mother sews yellow gingham aprons.
7	7A. Don't even wait until you are thirsty.
