experiment	item	condition	conditionlabel	tasklabel	content	word	text	lab	woi	design	record	session	instructions	participant	playlist	experimentTrial	sessionTrial	recordedFile	trialDuration	date	trialStart	trialEnd	
faster2x	61	1	f2	pic  	pic             	Please say 3 sentences about this picture: BEACH                                            	Please say 3 sentences about this picture: BEACH                                            	Please say 3 sentences about this picture: BEACH                                            	Please say 3 sentences about this picture: BEACH                                            	Fixed	y	1	instructions_f2.txt	1	1	1	1	faster2x_1_61_1.wav	67.3663	25-Apr-2018	16:49:22	16:50:30	
faster2x	62	1	f2	probe	probe           	She saw Pattie buy two poppies                                                              	She saw Pattie buy two poppies                                                              	She saw Pattie buy two poppies                                                              	She saw Pattie buy two poppies                                                              	Fixed	y	1	instructions_f2.txt	1	1	2	2	faster2x_1_62_1.wav	10.24	25-Apr-2018	16:50:30	16:50:40	
faster2x	60	1	f2	pic  	pic             	Please say 3 sentences about this picture: FARM                                             	Please say 3 sentences about this picture: FARM                                             	Please say 3 sentences about this picture: FARM                                             	Please say 3 sentences about this picture: FARM                                             	Fixed	y	1	instructions_f2.txt	1	1	3	3	faster2x_1_60_1.wav	28.6657	25-Apr-2018	16:50:41	16:51:09	
faster2x	53	1	f2	sit  	5 word sentence 	SIT SENTENCE1: 5 words                                                                      	5A. The sun died at night.                                                                  	SIT SENTENCE1: 5 words                                                                      	SIT SENTENCE1: 5 words                                                                      	Fixed	y	1	instructions_f2.txt	1	1	4	4	faster2x_1_53_1.wav	3.8789	25-Apr-2018	16:51:10	16:51:13	
faster2x	54	1	f2	sit  	7 word sentence 	SIT SENTENCE2: 7 words                                                                      	7A. I haven't seen that friend for years.                                                   	SIT SENTENCE2: 7 words                                                                      	SIT SENTENCE2: 7 words                                                                      	Fixed	y	1	instructions_f2.txt	1	1	5	5	faster2x_1_54_1.wav	3.5226	25-Apr-2018	16:51:14	16:51:17	
faster2x	55	1	f2	sit  	9 word sentence 	SIT SENTENCE3: 9 words                                                                      	"9A. I'm either second or third, depending on your judgment."                               	SIT SENTENCE3: 9 words                                                                      	SIT SENTENCE3: 9 words                                                                      	Fixed	y	1	instructions_f2.txt	1	1	6	6	faster2x_1_55_1.wav	4.0615	25-Apr-2018	16:51:17	16:51:21	
faster2x	29	1	f2	dfd  	sh_i            	ASHEED                                                                                      	ASHEED. PLEASE SAY ASHEED AGAIN.                                                            	ASHEED. PLEASE SAY ASHEED AGAIN.                                                            	ASHEED. PLEASE SAY ASHEED AGAIN.                                                            	Fixed	y	1	instructions_f2.txt	1	1	7	7	faster2x_1_29_1.wav	3.4906	25-Apr-2018	16:51:22	16:51:25	
faster2x	49	1	f2	dfd  	w_a             	AWOD                                                                                        	AWOD. PLEASE SAY AWOD AGAIN.                                                                	AWOD. PLEASE SAY AWOD AGAIN.                                                                	AWOD. PLEASE SAY AWOD AGAIN.                                                                	Fixed	y	1	instructions_f2.txt	1	1	8	8	faster2x_1_49_1.wav	2.8918	25-Apr-2018	16:51:25	16:51:28	
faster2x	13	1	f2	dfd  	d_i             	ADEED                                                                                       	ADEED. PLEASE SAY ADEED AGAIN.                                                              	ADEED. PLEASE SAY ADEED AGAIN.                                                              	ADEED. PLEASE SAY ADEED AGAIN.                                                              	Fixed	y	1	instructions_f2.txt	1	1	9	9	faster2x_1_13_1.wav	3.1369	25-Apr-2018	16:51:28	16:51:32	
faster2x	21	1	f2	dfd  	g_i             	AGEED                                                                                       	AGEED. PLEASE SAY AGEED AGAIN.                                                              	AGEED. PLEASE SAY AGEED AGAIN.                                                              	AGEED. PLEASE SAY AGEED AGAIN.                                                              	Fixed	y	1	instructions_f2.txt	1	1	10	10	faster2x_1_21_1.wav	3.7897	25-Apr-2018	16:51:32	16:51:35	
faster2x	9	1	f2	dfd  	t_i             	ATEED                                                                                       	ATEED. PLEASE SAY ATEED AGAIN.                                                              	ATEED. PLEASE SAY ATEED AGAIN.                                                              	ATEED. PLEASE SAY ATEED AGAIN.                                                              	Fixed	y	1	instructions_f2.txt	1	1	11	11	faster2x_1_9_1.wav	3.3196	25-Apr-2018	16:51:36	16:51:39	
faster2x	10	1	f2	dfd  	t_ae            	ATAD                                                                                        	ATAD. PLEASE SAY ATAD AGAIN.                                                                	ATAD. PLEASE SAY ATAD AGAIN.                                                                	ATAD. PLEASE SAY ATAD AGAIN.                                                                	Fixed	y	1	instructions_f2.txt	1	1	12	12	faster2x_1_10_1.wav	3.0015	25-Apr-2018	16:51:39	16:51:42	
faster2x	16	1	f2	dfd  	d_u             	ADUDE                                                                                       	ADUDE. PLEASE SAY ADUDE AGAIN.                                                              	ADUDE. PLEASE SAY ADUDE AGAIN.                                                              	ADUDE. PLEASE SAY ADUDE AGAIN.                                                              	Fixed	y	1	instructions_f2.txt	1	1	13	13	faster2x_1_16_1.wav	2.808	25-Apr-2018	16:51:42	16:51:45	
faster2x	36	1	f2	dfd  	z_u             	AZUDE                                                                                       	AZUDE. PLEASE SAY AZUDE AGAIN.                                                              	AZUDE. PLEASE SAY AZUDE AGAIN.                                                              	AZUDE. PLEASE SAY AZUDE AGAIN.                                                              	Fixed	y	1	instructions_f2.txt	1	1	14	14	faster2x_1_36_1.wav	19.0534	25-Apr-2018	16:51:45	16:52:04	
faster2x	34	1	f2	dfd  	z_ae            	AZAD                                                                                        	AZAD. PLEASE SAY AZAD AGAIN.                                                                	AZAD. PLEASE SAY AZAD AGAIN.                                                                	AZAD. PLEASE SAY AZAD AGAIN.                                                                	Fixed	y	1	instructions_f2.txt	1	1	15	15	faster2x_1_34_1.wav	3.2807	25-Apr-2018	16:52:04	16:52:08	
faster2x	3	1	f2	dfd  	p_a             	APOD                                                                                        	APOD. PLEASE SAY APOD AGAIN.                                                                	APOD. PLEASE SAY APOD AGAIN.                                                                	APOD. PLEASE SAY APOD AGAIN.                                                                	Fixed	y	1	instructions_f2.txt	1	1	16	16	faster2x_1_3_1.wav	2.6763	25-Apr-2018	16:52:08	16:52:11	
faster2x	24	1	f2	dfd  	g_u             	AGUDE                                                                                       	AGUDE. PLEASE SAY AGUDE AGAIN.                                                              	AGUDE. PLEASE SAY AGUDE AGAIN.                                                              	AGUDE. PLEASE SAY AGUDE AGAIN.                                                              	Fixed	y	1	instructions_f2.txt	1	1	17	17	faster2x_1_24_1.wav	2.7958	25-Apr-2018	16:52:11	16:52:14	
faster2x	40	1	f2	dfd  	dh_a            	ATHODD                                                                                      	ATHODD. PLEASE SAY ATHODD AGAIN.                                                            	ATHODD. PLEASE SAY ATHODD AGAIN.                                                            	ATHODD. PLEASE SAY ATHODD AGAIN.                                                            	Fixed	y	1	instructions_f2.txt	1	1	18	18	faster2x_1_40_1.wav	4.5864	25-Apr-2018	16:52:14	16:52:18	
faster2x	8	1	f2	dfd  	b_u             	ABUDE                                                                                       	ABUDE. PLEASE SAY ABUDE AGAIN.                                                              	ABUDE. PLEASE SAY ABUDE AGAIN.                                                              	ABUDE. PLEASE SAY ABUDE AGAIN.                                                              	Fixed	y	1	instructions_f2.txt	1	1	19	19	faster2x_1_8_1.wav	5.9534	25-Apr-2018	16:52:19	16:52:25	
faster2x	59	1	f2	pic  	pic             	Please say 3 sentences about this picture: STREET                                           	Please say 3 sentences about this picture: STREET                                           	Please say 3 sentences about this picture: STREET                                           	Please say 3 sentences about this picture: STREET                                           	Fixed	y	1	instructions_f2.txt	1	1	20	20	faster2x_1_59_1.wav	30.1733	25-Apr-2018	16:52:25	16:52:55	
faster2x	42	1	f2	dfd  	ch_a            	ACHOD                                                                                       	ACHOD. PLEASE SAY ACHOD AGAIN.                                                              	ACHOD. PLEASE SAY ACHOD AGAIN.                                                              	ACHOD. PLEASE SAY ACHOD AGAIN.                                                              	Fixed	y	1	instructions_f2.txt	1	1	21	21	faster2x_1_42_1.wav	3.7624	25-Apr-2018	16:52:55	16:52:59	
faster2x	26	1	f2	dfd  	s_ae            	ASAD                                                                                        	ASAD. PLEASE SAY ASAD AGAIN.                                                                	ASAD. PLEASE SAY ASAD AGAIN.                                                                	ASAD. PLEASE SAY ASAD AGAIN.                                                                	Fixed	y	1	instructions_f2.txt	1	1	22	22	faster2x_1_26_1.wav	2.7305	25-Apr-2018	16:52:59	16:53:02	
faster2x	35	1	f2	dfd  	z_a             	AZOD                                                                                        	AZOD. PLEASE SAY AZOD AGAIN.                                                                	AZOD. PLEASE SAY AZOD AGAIN.                                                                	AZOD. PLEASE SAY AZOD AGAIN.                                                                	Fixed	y	1	instructions_f2.txt	1	1	23	23	faster2x_1_35_1.wav	2.736	25-Apr-2018	16:53:02	16:53:05	
faster2x	30	1	f2	dfd  	sh_ae           	ASHAD                                                                                       	ASHAD. PLEASE SAY ASHAD AGAIN.                                                              	ASHAD. PLEASE SAY ASHAD AGAIN.                                                              	ASHAD. PLEASE SAY ASHAD AGAIN.                                                              	Fixed	y	1	instructions_f2.txt	1	1	24	24	faster2x_1_30_1.wav	2.7303	25-Apr-2018	16:53:05	16:53:08	
faster2x	23	1	f2	dfd  	g_a             	AGOD                                                                                        	AGOD. PLEASE SAY AGOD AGAIN.                                                                	AGOD. PLEASE SAY AGOD AGAIN.                                                                	AGOD. PLEASE SAY AGOD AGAIN.                                                                	Fixed	y	1	instructions_f2.txt	1	1	25	25	faster2x_1_23_1.wav	3.7241	25-Apr-2018	16:53:08	16:53:12	
faster2x	19	1	f2	dfd  	k_a             	AKOD                                                                                        	AKOD. PLEASE SAY AKOD AGAIN.                                                                	AKOD. PLEASE SAY AKOD AGAIN.                                                                	AKOD. PLEASE SAY AKOD AGAIN.                                                                	Fixed	y	1	instructions_f2.txt	1	1	26	26	faster2x_1_19_1.wav	3.1173	25-Apr-2018	16:53:12	16:53:15	
faster2x	32	1	f2	dfd  	sh_u            	ASHUDE                                                                                      	ASHUDE. PLEASE SAY ASHUDE AGAIN.                                                            	ASHUDE. PLEASE SAY ASHUDE AGAIN.                                                            	ASHUDE. PLEASE SAY ASHUDE AGAIN.                                                            	Fixed	y	1	instructions_f2.txt	1	1	27	27	faster2x_1_32_1.wav	2.8014	25-Apr-2018	16:53:15	16:53:18	
faster2x	46	1	f2	dfd  	l_a             	ALOD                                                                                        	ALOD. PLEASE SAY ALOD AGAIN.                                                                	ALOD. PLEASE SAY ALOD AGAIN.                                                                	ALOD. PLEASE SAY ALOD AGAIN.                                                                	Fixed	y	1	instructions_f2.txt	1	1	28	28	faster2x_1_46_1.wav	2.7842	25-Apr-2018	16:53:18	16:53:21	
faster2x	45	1	f2	dfd  	n_a             	ANOD                                                                                        	ANOD. PLEASE SAY ANOD AGAIN.                                                                	ANOD. PLEASE SAY ANOD AGAIN.                                                                	ANOD. PLEASE SAY ANOD AGAIN.                                                                	Fixed	y	1	instructions_f2.txt	1	1	29	29	faster2x_1_45_1.wav	2.9826	25-Apr-2018	16:53:21	16:53:24	
faster2x	17	1	f2	dfd  	k_i             	AKEED                                                                                       	AKEED. PLEASE SAY AKEED AGAIN.                                                              	AKEED. PLEASE SAY AKEED AGAIN.                                                              	AKEED. PLEASE SAY AKEED AGAIN.                                                              	Fixed	y	1	instructions_f2.txt	1	1	30	30	faster2x_1_17_1.wav	2.9513	25-Apr-2018	16:53:25	16:53:27	
faster2x	31	1	f2	dfd  	sh_a            	ASHOD                                                                                       	ASHOD. PLEASE SAY ASHOD AGAIN.                                                              	ASHOD. PLEASE SAY ASHOD AGAIN.                                                              	ASHOD. PLEASE SAY ASHOD AGAIN.                                                              	Fixed	y	1	instructions_f2.txt	1	1	31	31	faster2x_1_31_1.wav	2.941	25-Apr-2018	16:53:28	16:53:31	
faster2x	43	1	f2	dfd  	dj_a            	AJOD                                                                                        	AJOD. PLEASE SAY AJOD AGAIN.                                                                	AJOD. PLEASE SAY AJOD AGAIN.                                                                	AJOD. PLEASE SAY AJOD AGAIN.                                                                	Fixed	y	1	instructions_f2.txt	1	1	32	32	faster2x_1_43_1.wav	3.2352	25-Apr-2018	16:53:31	16:53:34	
