experiment	item	condition	conditionlabel	tasklabel	content	word	text	lab	woi	design	record	session	instructions	participant	playlist	experimentTrial	sessionTrial	recordedFile	trialDuration	date	trialStart	trialEnd	
habitual	59	1	h1	pic	beach pic description 	Please say 3 sentences about this picture: STREET                                           	Please say 3 sentences about this picture: STREET                                           	Please say 3 sentences about this picture: STREET                                           	Please say 3 sentences about this picture: STREET                                           	Fixed	y	1	instructions_h1.txt	1	1	1	1	habitual_1_59_1.wav	33.3462	22-Apr-2018	16:10:54	16:11:28	
habitual	60	1	h1	pic	street pic description	Please say 3 sentences about this picture: BEACH                                            	Please say 3 sentences about this picture: BEACH                                            	Please say 3 sentences about this picture: BEACH                                            	Please say 3 sentences about this picture: BEACH                                            	Fixed	y	1	instructions_h1.txt	1	1	2	2	habitual_1_60_1.wav	19.6277	22-Apr-2018	16:11:28	16:11:48	
habitual	61	1	h1	pic	farm pic description  	Please say 3 sentences about this picture: FARM                                             	Please say 3 sentences about this picture: FARM                                             	Please say 3 sentences about this picture: FARM                                             	Please say 3 sentences about this picture: FARM                                             	Fixed	y	1	instructions_h1.txt	1	1	3	3	habitual_1_61_1.wav	12.3335	22-Apr-2018	16:11:49	16:12:01	
habitual	13	1	h1	dfd	d_i                   	ADEED                                                                                       	ADEED. PLEASE SAY ADEED AGAIN.                                                              	ADEED. PLEASE SAY ADEED AGAIN.                                                              	ADEED. PLEASE SAY ADEED AGAIN.                                                              	Fixed	y	1	instructions_h1.txt	1	1	4	4	habitual_1_13_1.wav	6.2509	22-Apr-2018	16:12:01	16:12:08	
habitual	25	1	h1	dfd	s_i                   	ASEED                                                                                       	ASEED. PLEASE SAY ASEED AGAIN.                                                              	ASEED. PLEASE SAY ASEED AGAIN.                                                              	ASEED. PLEASE SAY ASEED AGAIN.                                                              	Fixed	y	1	instructions_h1.txt	1	1	5	5	habitual_1_25_1.wav	3.7821	22-Apr-2018	16:12:08	16:12:12	
habitual	36	1	h1	dfd	z_u                   	AZUDE                                                                                       	AZUDE. PLEASE SAY AZUDE AGAIN.                                                              	AZUDE. PLEASE SAY AZUDE AGAIN.                                                              	AZUDE. PLEASE SAY AZUDE AGAIN.                                                              	Fixed	y	1	instructions_h1.txt	1	1	6	6	habitual_1_36_1.wav	3.8847	22-Apr-2018	16:12:12	16:12:16	
habitual	42	1	h1	dfd	ch_a                  	ACHOD                                                                                       	ACHOD. PLEASE SAY ACHOD AGAIN.                                                              	ACHOD. PLEASE SAY ACHOD AGAIN.                                                              	ACHOD. PLEASE SAY ACHOD AGAIN.                                                              	Fixed	y	1	instructions_h1.txt	1	1	7	7	habitual_1_42_1.wav	3.6269	22-Apr-2018	16:12:17	16:12:20	
habitual	40	1	h1	dfd	dh_a                  	ATHODD                                                                                      	ATHODD. PLEASE SAY ATHODD AGAIN.                                                            	ATHODD. PLEASE SAY ATHODD AGAIN.                                                            	ATHODD. PLEASE SAY ATHODD AGAIN.                                                            	Fixed	y	1	instructions_h1.txt	1	1	8	8	habitual_1_40_1.wav	3.6083	22-Apr-2018	16:12:20	16:12:24	
habitual	2	1	h1	dfd	p_ae                  	APAD                                                                                        	APAD. PLEASE SAY APAD AGAIN.                                                                	APAD. PLEASE SAY APAD AGAIN.                                                                	APAD. PLEASE SAY APAD AGAIN.                                                                	Fixed	y	1	instructions_h1.txt	1	1	9	9	habitual_1_2_1.wav	3.5307	22-Apr-2018	16:12:24	16:12:28	
habitual	45	1	h1	dfd	n_a                   	ANOD                                                                                        	ANOD. PLEASE SAY ANOD AGAIN.                                                                	ANOD. PLEASE SAY ANOD AGAIN.                                                                	ANOD. PLEASE SAY ANOD AGAIN.                                                                	Fixed	y	1	instructions_h1.txt	1	1	10	10	habitual_1_45_1.wav	3.6787	22-Apr-2018	16:12:28	16:12:32	
habitual	22	1	h1	dfd	g_ae                  	AGAD                                                                                        	AGAD. PLEASE SAY AGAD AGAIN.                                                                	AGAD. PLEASE SAY AGAD AGAIN.                                                                	AGAD. PLEASE SAY AGAD AGAIN.                                                                	Fixed	y	1	instructions_h1.txt	1	1	11	11	habitual_1_22_1.wav	3.7968	22-Apr-2018	16:12:32	16:12:36	
habitual	47	1	h1	dfd	r_a                   	AROD                                                                                        	AROD. PLEASE SAY AROD AGAIN.                                                                	AROD. PLEASE SAY AROD AGAIN.                                                                	AROD. PLEASE SAY AROD AGAIN.                                                                	Fixed	y	1	instructions_h1.txt	1	1	12	12	habitual_1_47_1.wav	3.6802	22-Apr-2018	16:12:36	16:12:40	
habitual	16	1	h1	dfd	d_u                   	ADUDE                                                                                       	ADUDE. PLEASE SAY ADUDE AGAIN.                                                              	ADUDE. PLEASE SAY ADUDE AGAIN.                                                              	ADUDE. PLEASE SAY ADUDE AGAIN.                                                              	Fixed	y	1	instructions_h1.txt	1	1	13	13	habitual_1_16_1.wav	3.5767	22-Apr-2018	16:12:40	16:12:44	
habitual	52	1	h1	dfd	h_u                   	AHOOD                                                                                       	AHOOD. PLEASE SAY AHOOD AGAIN.                                                              	AHOOD. PLEASE SAY AHOOD AGAIN.                                                              	AHOOD. PLEASE SAY AHOOD AGAIN.                                                              	Fixed	y	1	instructions_h1.txt	1	1	14	14	habitual_1_52_1.wav	3.4254	22-Apr-2018	16:12:44	16:12:47	
