experiment	item	condition	conditionlabel	tasklabel	content	word	text	lab	woi	design	record	session	instructions	participant	playlist	experimentTrial	sessionTrial	recordedFile	trialDuration	date	trialStart	trialEnd
habitual	56	1	h1	sit  	6 word sentence 	SIT SENTENCE4: 6 words                                                                      	6A. The ballet is about to begin.                                                                                                                                                                             	SIT SENTENCE4: 6 words                                                                      	SIT SENTENCE4: 6 words                                                                      	Fixed	y	1	instructions_h1.txt	1	1	1	1	habitual_1_56_1.wav	16.1024	25-Apr-18	16:39:50	16:40:06
habitual	57	1	h1	sit  	8 word sentence 	SIT SENTENCE5: 8 words                                                                      	8A. Cuttings can be planted for flowers next fall.                                                                                                                                                            	SIT SENTENCE5: 8 words                                                                      	SIT SENTENCE5: 8 words                                                                      	Fixed	y	1	instructions_h1.txt	1	1	2	2	habitual_1_57_1.wav	9.142	25-Apr-18	16:40:08	16:40:17
habitual	58	1	h1	sit  	10 word sentence	SIT SENTENCE6: 10 words                                                                     	10A. A third officer finished the report before the last deadline.                                                                                                                                            	SIT SENTENCE6: 10 words                                                                     	SIT SENTENCE6: 10 words                                                                     	Fixed	y	1	instructions_h1.txt	1	1	3	3	habitual_1_58_1.wav	7.8142	25-Apr-18	16:40:17	16:40:25
habitual	62	1	h1	probe	probe           	She saw Pattie buy two poppies                                                              	She saw Pattie buy two poppies                                                                                                                                                                                	She saw Pattie buy two poppies                                                              	She saw Pattie buy two poppies                                                              	Fixed	y	1	instructions_h1.txt	1	1	4	4	habitual_1_62_1.wav	5.8018	25-Apr-18	16:40:25	16:40:31
habitual	41	1	h1	dfd  	h_a             	AHOD                                                                                        	AHOD. PLEASE SAY AHOD AGAIN.                                                                                                                                                                                  	AHOD. PLEASE SAY AHOD AGAIN.                                                                	AHOD. PLEASE SAY AHOD AGAIN.                                                                	Fixed	y	1	instructions_h1.txt	1	1	5	5	habitual_1_41_1.wav	6.2917	25-Apr-18	16:40:31	16:40:38
habitual	52	1	h1	dfd  	h_u             	AHOOD                                                                                       	AHOOD. PLEASE SAY AHOOD AGAIN.                                                                                                                                                                                	AHOOD. PLEASE SAY AHOOD AGAIN.                                                              	AHOOD. PLEASE SAY AHOOD AGAIN.                                                              	Fixed	y	1	instructions_h1.txt	1	1	6	6	habitual_1_52_1.wav	25.783	25-Apr-18	16:40:38	16:41:04
habitual	45	1	h1	dfd  	n_a             	ANOD                                                                                        	ANOD. PLEASE SAY ANOD AGAIN.                                                                                                                                                                                  	ANOD. PLEASE SAY ANOD AGAIN.                                                                	ANOD. PLEASE SAY ANOD AGAIN.                                                                	Fixed	y	1	instructions_h1.txt	1	1	7	7	habitual_1_45_1.wav	4.1769	25-Apr-18	16:41:04	16:41:08
habitual	2	1	h1	dfd  	p_ae            	APAD                                                                                        	APAD. PLEASE SAY APAD AGAIN.                                                                                                                                                                                  	APAD. PLEASE SAY APAD AGAIN.                                                                	APAD. PLEASE SAY APAD AGAIN.                                                                	Fixed	y	1	instructions_h1.txt	1	1	8	8	habitual_1_2_1.wav	3.6189	25-Apr-18	16:41:09	16:41:12
habitual	49	1	h1	dfd  	w_a             	AWOD                                                                                        	AWOD. PLEASE SAY AWOD AGAIN.                                                                                                                                                                                  	AWOD. PLEASE SAY AWOD AGAIN.                                                                	AWOD. PLEASE SAY AWOD AGAIN.                                                                	Fixed	y	1	instructions_h1.txt	1	1	9	9	habitual_1_49_1.wav	3.8077	25-Apr-18	16:41:12	16:41:16
habitual	6	1	h1	dfd  	b_ae            	ABAD                                                                                        	ABAD. PLEASE SAY ABAD AGAIN.                                                                                                                                                                                  	ABAD. PLEASE SAY ABAD AGAIN.                                                                	ABAD. PLEASE SAY ABAD AGAIN.                                                                	Fixed	y	1	instructions_h1.txt	1	1	10	10	habitual_1_6_1.wav	3.4633	25-Apr-18	16:41:17	16:41:20
habitual	51	1	h1	dfd  	h_ae            	AHAD                                                                                        	AHAD. PLEASE SAY AHAD AGAIN.                                                                                                                                                                                  	AHAD. PLEASE SAY AHAD AGAIN.                                                                	AHAD. PLEASE SAY AHAD AGAIN.                                                                	Fixed	y	1	instructions_h1.txt	1	1	11	11	habitual_1_51_1.wav	3.6113	25-Apr-18	16:41:20	16:41:24
habitual	47	1	h1	dfd  	r_a             	AROD                                                                                        	AROD. PLEASE SAY AROD AGAIN.                                                                                                                                                                                  	AROD. PLEASE SAY AROD AGAIN.                                                                	AROD. PLEASE SAY AROD AGAIN.                                                                	Fixed	y	1	instructions_h1.txt	1	1	12	12	habitual_1_47_1.wav	3.7818	25-Apr-18	16:41:24	16:41:28
