experiment	item	condition	conditionlabel	tasklabel	context	word	text	lab	woi	design	record	session	instructions	participant	playlist	experimentTrial	sessionTrial	recordedFile	trialDuration	date	trialStart	trialEnd	
radi_HABITUAL	27	1	habitual	dfd	HABITUAL	AZHIL        	AZHIL. PLEASE SAY AZHIL AGAIN.                           	AZHIL. PLEASE SAY AZHIL AGAIN.  	AZHIL. PLEASE SAY AZHIL AGAIN.  	Fixed	y	1	instructions.txt	1	1	1	1	radi_HABITUAL_1_27_1.wav	5.4904	08-Mar-2018	17:39:49	17:39:55	
radi_HABITUAL	26	1	habitual	dfd	HABITUAL	ASHIL        	ASHIL. PLEASE SAY ASHIL AGAIN.                           	ASHIL. PLEASE SAY ASHIL AGAIN.  	ASHIL. PLEASE SAY ASHIL AGAIN.  	Fixed	y	1	instructions.txt	1	1	2	2	radi_HABITUAL_1_26_1.wav	4.3226	08-Mar-2018	17:39:56	17:40:00	
radi_HABITUAL	18	1	habitual	dfd	HABITUAL	AKIL         	AKIL. PLEASE SAY AKIL AGAIN.                             	AKIL. PLEASE SAY AKIL AGAIN.    	AKIL. PLEASE SAY AKIL AGAIN.    	Fixed	y	1	instructions.txt	1	1	3	3	radi_HABITUAL_1_18_1.wav	0.60619	08-Mar-2018	17:40:00	17:40:01	
radi_HABITUAL	30	1	habitual	dfd	HABITUAL	ADGIL        	ADGIL. PLEASE SAY ADGIL AGAIN.                           	ADGIL. PLEASE SAY ADGIL AGAIN.  	ADGIL. PLEASE SAY ADGIL AGAIN.  	Fixed	y	1	instructions.txt	1	1	4	4	radi_HABITUAL_1_30_1.wav	2.1252	08-Mar-2018	17:40:01	17:40:04	
radi_HABITUAL	4	1	habitual	dfd	HABITUAL	HAD          	HAD. PLEASE SAY HAD AGAIN.                               	HAD. PLEASE SAY HAD AGAIN.      	HAD. PLEASE SAY HAD AGAIN.      	Fixed	y	1	instructions.txt	1	1	5	5	radi_HABITUAL_1_4_1.wav	4.9189	08-Mar-2018	17:40:04	17:40:09	
radi_HABITUAL	19	1	habitual	dfd	HABITUAL	AGIL         	AGIL. PLEASE SAY AGIL AGAIN.                             	AGIL. PLEASE SAY AGIL AGAIN.    	AGIL. PLEASE SAY AGIL AGAIN.    	Fixed	y	1	instructions.txt	1	1	6	6	radi_HABITUAL_1_19_1.wav	8.5759	08-Mar-2018	17:40:10	17:40:18	
radi_HABITUAL	31	1	habitual	dfd	HABITUAL	AMIL         	AMIL. PLEASE SAY AMIL AGAIN.                             	AMIL. PLEASE SAY AMIL AGAIN.    	AMIL. PLEASE SAY AMIL AGAIN.    	Fixed	y	1	instructions.txt	1	1	7	7	radi_HABITUAL_1_31_1.wav	1.3494	08-Mar-2018	17:40:19	17:40:20	
radi_HABITUAL	14	1	habitual	dfd	HABITUAL	APIL         	APIL. PLEASE SAY APIL AGAIN.                             	APIL. PLEASE SAY APIL AGAIN.    	APIL. PLEASE SAY APIL AGAIN.    	Fixed	y	1	instructions.txt	1	1	8	8	radi_HABITUAL_1_14_1.wav	1.1334	08-Mar-2018	17:40:20	17:40:22	
radi_HABITUAL	24	1	habitual	dfd	HABITUAL	ASIL         	ASIL. PLEASE SAY ASIL AGAIN.                             	ASIL. PLEASE SAY ASIL AGAIN.    	ASIL. PLEASE SAY ASIL AGAIN.    	Fixed	y	1	instructions.txt	1	1	9	9	radi_HABITUAL_1_24_1.wav	1.6238	08-Mar-2018	17:40:22	17:40:24	
radi_HABITUAL	17	1	habitual	dfd	HABITUAL	ADIL         	ADIL. PLEASE SAY ADIL AGAIN.                             	ADIL. PLEASE SAY ADIL AGAIN.    	ADIL. PLEASE SAY ADIL AGAIN.    	Fixed	y	1	instructions.txt	1	1	10	10	radi_HABITUAL_1_17_1.wav	2.9213	08-Mar-2018	17:40:24	17:40:27	
